depth,100%S,90%S,80%S,70%S,60%S,50%S,40%S,30%S,20%S,10%F
01,0.11,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11
02,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11
03,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1
04,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.1
05,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11
06,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.1
07,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1
08,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1
09,0.12,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.1
10,357.44,592.04,492.37,805.03,274.09,363.16,619.1,230.28,321.65,0.15